f,Point,circumference ,Lichen presence,number lichen species,light N (umols),light E,light S,light W,Percentage of Tree covered by lichen,Yellow Lichen South,Yellow Lichen North,Yellow lichen total,Green Lichen South ,Green Lichen North,Green Lichen Total,Gray Lichen South Side,Gray Lichen North Side,Gray Lichen Total,Lichen on South Total,Lichen on North Total,Gray Lichen North Side,Gray Lichen Total,Lichen on South Total,Lichen on North Total,North percent coverage,South Percent coverage
1,1,60,"18 15 grey, 54 49 44 41 36 29 19 11 8 green",2,64.5,188,346,50,0.1833333333,0,0,0,5,4,9,2,0,2,7,4,0,2,8,11,0.3666666667,0.2666666667
2,1,97,grey: 15 21 green: 26 30 35 43 62 71 80 90 95 ,2,44,190,260,57,0.1134020619,0,0,0,6,3,9,0,2,2,6,5,2,2,10,13,0.2680412371,0.206185567
3,1,53,green: 1 9 13 16 19 21-25 26 29 31 36-55grey: 16 19 36-55,2,51,307,240,53,0.4339622642,0,0,0,16,7,23,6,6,12,22,13,6,12,26,41,1.547169811,0.9811320755
4,1,84,grey: 18 25 60 65 70 83 green: 65 ,2,36,181.7,180,44,0.07142857143,0,0,0,0,1,1,2,4,6,2,5,4,6,10,11,0.2619047619,0.2380952381
5,1,96,grey 50 ,1,23,10,38,30,0.01041666667,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.02083333333,0
6,1,66,grey: 9 37 42 49 green: 13 21 52 66,2,35,337,488,46,0.1212121212,0,0,0,1,3,4,3,1,4,4,4,1,4,8,9,0.2727272727,0.2424242424
7,2,65,yellow: 26 grey: 28 ,2,22,14,44,75,0.03076923077,1,0,1,0,0,0,1,0,1,2,0,0,1,0,1,0.03076923077,0
8,3,69,grey: 10-13 21 24 35 47 55 61 68 yellow: 10-13 65 green 10-13 47 51 61 68,3,73,74,36,30.53,0.1739130435,0,5,5,2,-2,0,4,0,4,6,3,0,4,1,4,0.115942029,0.02898550725
9,3,86,green: 1 11 18 24 31 48 50-68 74 77 84 grey: 50-68 81 ,2,20,45,38,36,0.3372093023,0,0,0,18,10,28,10,0,10,28,10,0,10,20,38,0.8837209302,0.4651162791
10,4,62,grey: 25-30 36 40 45 50 56 ,1,22,33,94,74,0.1774193548,0,0,0,0,0,0,9,2,11,9,2,2,11,4,13,0.4193548387,0.1290322581
11,4,72,,0,23,26,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,55,green: 25 29 31 42 grey: 47-55 ,2,18,31,47,44,0.2363636364,0,0,0,3,1,4,0,9,9,3,10,9,9,20,22,0.8,0.7272727273
13,4,66,,0,22,39,124,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,60,,0,30,26,122,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,82,green: 9 12 15 34 45 50-56 60 62 66-70 73-76 grey: 23 50-56 60 62 66-70 73-76,2,95,98,190,115,0.2926829268,0,0,0,10,9,19,9,10,19,19,19,10,19,38,48,1.170731707,0.9268292683
16,5,89,grey: 9 11 15 17 20 24 26-35 39-45 54 59 60 64 67 70 75 78-80 82 86 green: 79 86,2,25,49,40,56,0.5168539326,0,0,0,0,2,2,20,15,35,20,17,15,35,34,52,1.168539326,0.7640449438
17,5,50,yellow: 9 12 16-19 grey: 9 12 16-19 30-50 green: 29 30-50,3,60,200,181,38,0.36,4,2,6,9,3,12,15,2,17,28,7,2,17,12,31,1.24,0.48
18,5,95,green: 14 24 34 74 92 yellow: 20 grey: 36-45 52 64-68 81 ,3,45,75,120,33,0.2421052632,0,1,1,2,3,5,16,1,17,18,5,1,17,9,23,0.4842105263,0.1894736842
19,5,53,green: 9 10-15 grey: 10-15 19 29-36 ,2,29,85,75,17,0.3018867925,0,0,0,3,4,7,12,3,15,15,7,3,15,14,25,0.9433962264,0.5283018868
20,5,66,grey: 5 19 26 30 31 41 60 green: 9 51 60,2,50,266,120,57,0.1363636364,0,0,0,0,3,3,5,2,7,5,5,2,7,10,12,0.3636363636,0.303030303
21,6,81,grey: 21,1,19,167,24,14,0.01234567901,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.02469135802,0
22,6,100,"green: 7,9, 23, 59, 67, 74, 85",1,9,18,14,20,0.07,0,0,0,3,4,7,0,0,0,3,4,0,0,8,7,0.14,0.16
23,6,62,"green: 3-6, 8, 10, 14, 39, 43, 48, 50-55 60-62 ",1,20,40,68,28,0.3064516129,0,0,0,2,17,19,0,0,0,2,17,0,0,34,19,0.6129032258,1.096774194
24,6,67,"green: 32, 36 39 43, 57 60 ",1,10,13,9,37,0.08955223881,0,0,0,4,2,6,0,0,0,4,2,0,0,4,6,0.1791044776,0.1194029851
25,6,95,0,0,10,9,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7,65,"green: 1-2, 8 17 27 37 40 42 44-65",1,104,140,22,31,0.4461538462,0,0,0,11,9,20,0,0,0,11,9,0,0,18,20,0.6153846154,0.5538461538
27,7,68,0-32 36-68 ,1,34,169,160,42,0.9411764706,0,0,0,32,33,65,0,0,0,32,33,0,0,66,65,1.911764706,1.941176471
28,7,89,green: 0-7 10 14-23 25 27 30-35 40 47 53 61-65 69-72 74-77 81-89,1,26,107,171,33,0.6629213483,0,0,0,18,33,51,0,0,0,18,33,0,0,66,51,1.146067416,1.483146067
29,7,70,green: 0-20 25 30 40 46-70 ,1,22,20,103,30,0.6714285714,0,0,0,13,35,48,0,0,0,13,35,0,0,70,48,1.371428571,2
30,7,84,green: 3-22 27 30 45 50 53 55-56 57-59 62-69 65-68 71 75-78 81,1,24,155,19,23,0.5238095238,0,0,0,12,36,48,0,0,0,12,36,0,0,72,48,1.142857143,1.714285714
